공원,섹터,대표제목,보도건수,언론사수,언론사목록,최초보도일,최종보도일,대표링크
설악산,구조활동,설악산 권금성서 폴란드 여성 심정지로 숨져,6,6,ecojournal.co.kr · imnews.imbc.com · v.daum.net · 연합뉴스 · 월간산 · 진일보,2026-06-27,2026-08-07,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9hWkhBMElxQ00xUEVWYVpSRkt6dDhUQmM4RGVKeWRsRlN1SkpEZFpKb2Q0eWNyN1RETkV4UnNwMGRUUExTVmpTcEp1VVNaQW51Y2FsRU90WUJCelZid2dkSThwZGNnQdIBakFVX3lxTFBfTXB2NVM2ZmJGVDFTX1haWldYd1Q3NG9xc2k2Mko3YU9QOGl0Q3F3U2tuaXA3UGprcmlILXBGT1J4Nl9vbE54UE9UcmN2VlZYeUI3OC05YVcxQUIxeTZhbUJ4UUVJYzJXMkE?oc=5
설악산,구조활동,설악산서 또 추락…주말 사이 60대 등산객 2명 중상,6,6,news.sbs.co.kr · 경기일보 · 네이트 · 연합뉴스 · 조선일보 · 한겨레,2026-06-12,2026-07-05,https://news.google.com/rss/articles/CBMiW0FVX3lxTFA4Qnk2TVhSVTBzVGpsbHhMQzdfbW1rd2xiblEzVVMwOHFLSnN5SzNpWThxdmtYUkhuOV9WME96ZUF3ek1mQlFEUUtQNUFQOFprT2w2akFPLVJjelk?oc=5
내장산,기타,“국립공원에 32홀 파크골프장?”…내장산 개발 논란 확산,6,6,경향신문 · 공뉴스 · 세이프타임즈 · 중앙일보 · 지이코노미 · 한국일보,2026-05-12,2026-05-20,https://news.google.com/rss/articles/CBMibEFVX3lxTE1Ub2N3SG9JbzhjeUIzM0VxM1JoRnhZaFJkdmxDc0MtQUJZWmJYdlh3UDFtOXVocVRKX3dZMHhkdWtkMkY0Y244bmtNMVpqN0dJSk5LQ25VUEdzeC1UUUlEZG9NajQ3RnBfZXAwTg?oc=5
계룡산,탐방시설,"계룡산국립공원, 야생화 봄꽃 개화… 탐방로 향기 가득",6,6,BBS불교방송 · LG헬로비전 · hidomin.com · 모빅경제 · 영남일보 · 중부매일,2024-02-21,2026-04-05,https://news.google.com/rss/articles/CBMiakFVX3lxTFAydnp3NW9RUS1nNWFxQkdSa29qZnFsWXRXMTFNS1BfRmEzRkdOT1BVMEk5bWtXQllZRG9VeTJCaURpaFAtQVZYN0h6WUZJaDdEaWFZaVhkZ1hhVmRNOWU2LVVxRk1rUGQ2bXfSAW5BVV95cUxNZlBNMTZyWTEtT3VOQjR1Z1k3VDRTZUw1SjhzTFhId0VEejc2N2lxVjNpdTRxM2xHdDFHSEQ1eTkzZDlYME02TmstdWJnWnRvUXo5enBVaFhsaUhFRjQ3RDhFTVBMbWZwUldFZlRLdw?oc=5
팔공산,자원보전,"[대구 24시] “팔공산국립공원 생태관광, 올해도 시티투어로 함께 하세요”",6,6,tbc.co.kr · 경북매일 · 대구뉴스 · 시사저널 · 연합뉴스 · 열린정책뉴스,2026-03-11,2026-03-12,https://news.google.com/rss/articles/CBMib0FVX3lxTE5SVjJCR084ZjlPSTk5ZW93dnNNRjNlcndZNWVhZHNyNnNNV2RwaW4xWDRiQU1GSmZLREY1OUVtcWgxZXFlLUVjeUVxdldIUk5hdTZQQm9VbF9HaHJicFctM2RTWTJUck1HYjY3am4zb9IBc0FVX3lxTE1aNmlkeE9LVUtVZmlsajFEbG1vZ2pvVDhIMjZxNm1ZNVBaRmZJRlRFQlpKNmpGVHJfY0pybWVyeDRvQXNnek5Talo4SVNueENxWXJ6alRDUGxWT3EyLWJkY2xsWDNOOWgwRndYWUZCZG5Bbjg?oc=5
소백산,탐방시설,"소백산, 6월~8월 '탐방로 예약제' 실시 / 안동MBC",5,5,KBS 뉴스 · 뉴스1 · 안동MBC · 충북일보 · 트래블아이,2024-05-06,2026-08-15,https://news.google.com/rss/articles/CBMickFVX3lxTE9yN0Z5dGxhZlVVWE0xa0JPSmhxN3dfb01NQURJRnoyT05pOVRmOGFsSnZjeVN5Q29CNDVMVDBaM0pZc1lEblNDMFZ4c0M1MU9MT0k4S1hKbTc1ejF6RzJoMTlzZTlFMFBpenVObzlLdG8xZw?oc=5
계룡산,자원보전,"계룡산생태탐방원, ‘무인 국립공원숍’ 기념품 현장 구매",5,5,로컬투데이 · 중도일보 · 중부매일 · 충남일보 · 특급뉴스,2026-08-11,2026-08-13,https://news.google.com/rss/articles/CBMiakFVX3lxTFBUZ0JjZ3hvWDV4SXpJb3BNazZwVUp0dHVVbVc2Mjg0VEpiajU0NF9nMWRnWk95T2ZLU3FPZl9sazVRRnJRSVF2TDhrWHhyY1UzREhSTkRUYVhnQWFSZFQ5ZlpTTEUycVlhUGfSAW5BVV95cUxPVldJSlM5Ri1WM3lCdUdleENxOVctOUdqRVQ5SnBjMEs2SFE2Ul8takxaRk41UHBnUzVIOWM4UXFhbG1TR3RSTVo0MGx5a0t6cHUyN2g3NTBKdDlBTzdkTEp4WXFoanptelJTODgyZw?oc=5
무등산,탐방시설,"안도걸 의원, 무등산 탐방안내소 신축 공청회 개최…“시민 의견 담아 탐방거점 조성”",5,5,KNS뉴스통신 · 뉴스체인지 · 일간투데이 · 투데이광주전남 · 한국시민기자협회 뉴스포털1,2026-08-08,2026-08-10,https://news.google.com/rss/articles/CBMidEFVX3lxTE1iY2t6OVlRbXJLazFmenFxaHhMUENfYUR4bFVad0hyUFlJWTZBd2daSURZa3FWYl9CckFhUnpiR0dXaHpCVmdzYS1PNlBrWVFsVC1QX1lHb1RFeXluUnF6a2FHdmZKRURCeVRFRy1yc1FqMlBO0gF3QVVfeXFMT0F3Q3hQTlpIYmdIdUJCQWo4UXd6dU1LLVljV1Jkem5EdFVJcF9uV2JjVzNJQ3J5RlVqeHFyTGx1ZXR3RlM3TC1DeW9GMnBTS1FvQUJLRDhMdEp1RmRzMFd0QXpyWjl5djg3QkNIVlZiM3RteTFXZjA?oc=5
소백산,탐방시설,"소백산 삼가야영장, 2026년 한국소비자산업평가 숙박 분야 우수업체 선정",5,5,gukjenews.com · 대한투데이 · 더팩트 · 매일신문 · 영주시민신문,2026-08-06,2026-08-06,https://news.google.com/rss/articles/CBMiYkFVX3lxTFB0OXhLaFRzWUUxTW9TMnR3U3czTlRsWHpMRXFCaDdZTXNNWnFodnBNOE5ySUFvd2piN1g5Y0ZYNWphMEFONTdRUjBGTDYxTjcxZzdacGlDUjVaX3B0ZEZCNlFR?oc=5
한려해상,탐방시설,"한려해상생태탐방원, 지역 가이드와 함께 테마형 생태관광 프로그램 운영",5,5,donongnews.com · 경남대학교 대표 · 국토일보 · 우먼타임스 · 한산신문,2026-03-28,2026-08-01,https://news.google.com/rss/articles/CBMibkFVX3lxTE4ySVJ2eEdTOTVRUHdBX2NfMU9lQ1puMU5uWTlZTlVQNWZqbWZDSjJfeHBHNzVpNlBXZUhVeWlmRTJfcS1VUEhXenZPQ1dLUGZhNVpuNzB1ckozTXBBcDBfWUM4UTE3WWNBMHd0bTlB?oc=5
